"Age","Athlete","Gold","Date","Date (String)","Country"
"32","Ole Einar Bjørndalen","false","2006-02-26","2006-02-26","Norway"
"34","Sven Fischer","true","2006-02-26","2006-02-26","Germany"
"26","Martina Glagow-Beck","false","2006-02-26","2006-02-26","Germany"
"29","Michael Greis","true","2006-02-26","2006-02-26","Germany"
"29","Kati Wilhelm","true","2006-02-26","2006-02-26","Germany"
"25","Kati Wilhelm","true","2002-02-24","2002-02-24","Germany"
"22","Yohan Blake","true","2012-08-12","2012-08-12","Jamaica"
"25","Usain Bolt","true","2012-08-12","2012-08-12","Jamaica"
"26","Allyson Felix","true","2012-08-12","2012-08-12","United States"
"25","Shelly-Ann Fraser-Pryce","true","2012-08-12","2012-08-12","Jamaica"
"32","Carmelita Jeter","true","2012-08-12","2012-08-12","United States"
"21","Usain Bolt","true","2008-08-24","2008-08-24","Jamaica"
"22","Veronica Campbell-Brown","true","2004-08-29","2004-08-29","Jamaica"
"22","Justin Gatlin","true","2004-08-29","2004-08-29","United States"
"32","Bode Miller","true","2010-02-28","2010-02-28","United States"
"27","Aksel Lund Svindal","true","2010-02-28","2010-02-28","Norway"
"24","Anja Pärson","true","2006-02-26","2006-02-26","Sweden"
"32","Stephan Eberharter","true","2002-02-24","2002-02-24","Austria"
"22","Ding Ning","true","2012-08-12","2012-08-12","China"
"25","Feng Tian Wei","false","2012-08-12","2012-08-12","Singapore"
"24","Li Xiaoxia","true","2012-08-12","2012-08-12","China"
"23","Dmitrij Ovtcharov","false","2012-08-12","2012-08-12","Germany"
"28","Wang Hao","true","2012-08-12","2012-08-12","China"
"24","Zhang Jike","true","2012-08-12","2012-08-12","China"
"20","Guo Yue","true","2008-08-24","2008-08-24","China"
"28","Ma Lin","true","2008-08-24","2008-08-24","China"
"24","Wang Hao","true","2008-08-24","2008-08-24","China"
"30","Wang Liqin","true","2008-08-24","2008-08-24","China"
"29","Wang Nan","true","2008-08-24","2008-08-24","China"
"26","Zhang Yining","true","2008-08-24","2008-08-24","China"
"22","Zhang Yining","true","2004-08-29","2004-08-29","China"
"24","Kong Linghui","true","2000-10-01","2000-10-01","China"
"24","Li Ju","true","2000-10-01","2000-10-01","China"
"24","Liu Guoliang","false","2000-10-01","2000-10-01","China"
"21","Wang Nan","true","2000-10-01","2000-10-01","China"
"22","Viktoriya Azarenko","true","2012-08-12","2012-08-12","Belarus"
"34","Mike Bryan","true","2012-08-12","2012-08-12","United States"
"25","Andy Murray","true","2012-08-12","2012-08-12","Great Britain"
"30","Serena Williams","true","2012-08-12","2012-08-12","United States"
"24","Fernando González","true","2004-08-29","2004-08-29","Chile"
"26","Nicolás Massú","true","2004-08-29","2004-08-29","Chile"
"20","Venus Williams","true","2000-10-01","2000-10-01","United States"
"22","Ona Carbonell","false","2012-08-12","2012-08-12","Spain"
"29","Andrea Fuentes","false","2012-08-12","2012-08-12","Spain"
"22","Huang Xuechen","false","2012-08-12","2012-08-12","China"
"26","Nataliya Ishchenko","true","2012-08-12","2012-08-12","Russia"
"25","Liu Ou","false","2012-08-12","2012-08-12","China"
"22","Svetlana Romashina","true","2012-08-12","2012-08-12","Russia"
"25","Anastasiya Davydova","true","2008-08-24","2008-08-24","Russia"
"25","Andrea Fuentes","false","2008-08-24","2008-08-24","Spain"
"31","Gemma Mengual","false","2008-08-24","2008-08-24","Spain"
